date,hour,day_of_week,is_weekend,month,is_public_holiday,avg_speed_kmh,traffic_volume_veh_per_hr,road_capacity_veh_per_hr,vc_ratio,temperature_celsius,rainfall_mm_per_hr,humidity_percent,wind_speed_kmh,air_quality_index_aqi,tourist_arrival_index,school_hour_flag,workday_flag,special_event_type
2025-02-07,15,Friday,0,2,0,45.3,2446,4800,0.5095833333333334,31.3,0.7,83,10.7,53,0.96,0,1,none
2025-02-07,0,Friday,0,2,0,43.6,2760,4800,0.575,25.0,0.0,92,8.0,60,0.96,0,1,none
2025-02-07,1,Friday,0,2,0,44.6,2564,4800,0.5341666666666667,24.8,0.0,93,7.5,61,0.96,0,1,none
2025-02-07,2,Friday,0,2,0,45.8,2522,4800,0.5254166666666666,24.6,0.0,94,7.0,62,0.96,0,1,none
2025-02-07,3,Friday,0,2,0,47.0,2561,4800,0.5335416666666667,24.5,0.0,94,7.5,60,0.96,0,1,none
2025-02-07,4,Friday,0,2,0,48.2,2586,4800,0.53875,24.4,0.0,94,8.0,58,0.96,0,1,none
2025-02-07,5,Friday,0,2,0,49.4,2434,4800,0.5070833333333333,24.6,0.0,93,8.5,57,0.96,0,1,none
2025-02-07,6,Friday,0,2,0,50.6,2469,4800,0.514375,25.5,0.0,92,9.0,55,0.96,0,1,none
2025-02-07,7,Friday,0,2,0,32.6,2678,4800,0.5579166666666666,26.5,0.0,90,9.5,53,0.96,1,1,none
2025-02-07,8,Friday,0,2,0,29.2,2564,4800,0.5341666666666667,27.5,0.0,88,10.0,52,0.96,1,1,none
2025-02-07,9,Friday,0,2,0,30.9,2523,4800,0.525625,28.5,0.0,86,10.5,51,0.96,1,1,none
2025-02-07,10,Friday,0,2,0,43.6,2585,4800,0.5385416666666667,29.5,0.0,84,11.0,50,0.96,0,1,none
2025-02-07,11,Friday,0,2,0,45.9,3468,4800,0.7225,30.5,0.0,82,11.5,49,0.96,0,1,none
2025-02-07,12,Friday,0,2,0,46.7,3599,4800,0.7497916666666666,31.5,0.0,81,11.9,48,0.96,0,1,none
2025-02-07,13,Friday,0,2,0,47.2,3970,4800,0.8270833333333333,32.0,0.0,80,11.7,49,0.96,0,1,none
2025-02-07,14,Friday,0,2,0,46.8,3866,4800,0.8054166666666667,31.8,0.0,81,11.2,51,0.96,0,1,none
2025-02-07,16,Friday,0,2,0,44.1,2723,4800,0.5672916666666666,30.8,0.0,85,10.2,55,0.96,0,1,none
2025-02-07,17,Friday,0,2,0,25.0,2761,4800,0.5752083333333333,30.0,0.0,87,9.7,57,0.96,0,1,chingay_parade
2025-02-07,18,Friday,0,2,0,22.0,3389,4800,0.7060416666666667,29.5,0.0,88,9.2,59,0.96,0,1,chingay_parade
2025-02-07,19,Friday,0,2,0,24.0,3451,4800,0.7189583333333334,29.0,0.0,89,8.7,60,0.96,0,1,chingay_parade
2025-02-07,20,Friday,0,2,0,26.0,3597,4800,0.749375,28.5,0.0,90,8.2,61,0.96,0,1,chingay_parade
2025-02-07,21,Friday,0,2,0,28.0,3666,4800,0.76375,28.0,0.0,91,7.7,62,0.96,0,1,chingay_parade
2025-02-07,22,Friday,0,2,0,30.0,4037,4800,0.8410416666666667,27.5,0.0,92,7.2,63,0.96,0,1,chingay_parade
2025-02-07,23,Friday,0,2,0,32.0,2702,4800,0.5629166666666666,27.0,0.0,92,6.7,64,0.96,0,1,chingay_parade
2025-01-02,4,Thursday,0,1,0,46.0,1200,4800,0.25,25.5,0.33,93,7.6,51,0.63,0,1,none
2025-01-02,16,Thursday,0,1,0,42.1,1800,4800,0.375,29.5,0.86,85,9.6,56,0.63,0,1,none
2025-01-02,21,Thursday,0,1,0,39.2,1900,4800,0.3958333333333333,27.1,0.31,91,7.4,55,0.63,0,1,none
2025-01-02,22,Thursday,0,1,0,40.6,1700,4800,0.3541666666666667,26.7,0.44,92,7.0,53,0.63,0,1,none
2025-01-03,9,Friday,0,1,0,29.5,4000,4800,0.8333333333333334,29.4,0.49,83,10.4,57,0.63,1,1,none
2025-11-21,7,Friday,0,11,0,32.2,1817,4800,0.37854166666666667,26.7,0.91,91,7.0,58,0.75,1,1,none
2025-12-20,2,Saturday,1,12,0,50.0,1899,4800,0.395625,26.7,2.11,94,9.0,58,0.88,0,0,christmas_festive
2025-12-20,18,Saturday,1,12,0,30.0,2571,4800,0.535625,28.9,1.69,89,7.0,58,0.88,0,0,christmas_festive
2025-12-21,14,Sunday,1,12,0,69.0,2107,4800,0.43895833333333334,31.1,2.43,81,6.0,58,0.89,0,0,christmas_festive
2025-12-23,3,Tuesday,0,12,0,48.2,2647,4800,0.5514583333333334,26.1,1.0,95,7.5,58,0.92,0,1,christmas_eve_leadup
2025-12-25,1,Thursday,0,12,1,45.6,2525,4800,0.5260416666666666,26.1,2.08,95,9.5,58,0.95,0,0,christmas_day
2025-12-25,7,Thursday,0,12,1,32.2,2519,4800,0.5247916666666667,26.7,1.05,91,7.0,58,0.95,0,0,christmas_day
2025-12-25,18,Thursday,0,12,1,28.4,3999,4800,0.833125,28.3,1.21,89,7.0,58,0.95,0,0,christmas_day
2025-12-25,23,Thursday,0,12,1,43.8,2428,4800,0.5058333333333334,26.1,0.46,94,7.0,58,0.95,0,0,christmas_day
2025-12-26,2,Friday,0,12,0,46.8,2635,4800,0.5489583333333333,26.1,2.06,95,9.0,58,0.93,0,1,boxing_day
2025-12-26,9,Friday,0,12,0,30.5,2424,4800,0.505,27.8,0.48,87,7.0,58,0.93,1,1,boxing_day
2025-12-26,23,Friday,0,12,0,43.8,2693,4800,0.5610416666666667,26.1,2.32,94,7.0,58,0.93,0,1,boxing_day
2025-12-27,0,Saturday,1,12,0,48.0,2587,4800,0.5389583333333333,26.7,2.16,92,10.0,58,0.91,0,0,christmas_holiday_week
2025-12-28,7,Sunday,1,12,0,63.0,1888,4800,0.3933333333333333,27.2,0.56,90,6.0,58,0.9,0,0,christmas_holiday_week
2025-12-28,13,Sunday,1,12,0,68.5,2492,4800,0.5191666666666667,30.6,2.41,80,6.0,58,0.9,0,0,christmas_holiday_week
2025-12-28,19,Sunday,1,12,0,32.0,2170,4800,0.45208333333333334,28.3,1.2,89,6.0,58,0.9,0,0,christmas_holiday_week
2025-12-29,12,Monday,0,12,0,46.5,2619,4800,0.545625,29.4,2.4,82,6.0,58,0.9,0,1,nye_buildup
2025-12-29,20,Monday,0,12,0,39.9,1945,4800,0.40520833333333334,27.2,2.27,91,6.0,58,0.9,0,1,nye_buildup
2025-12-31,1,Wednesday,0,12,0,45.6,2406,4800,0.50125,26.1,1.43,95,9.5,58,0.97,0,1,nye_countdown
2025-12-31,5,Wednesday,0,12,0,50.2,2517,4800,0.524375,26.1,0.21,94,7.5,58,0.97,0,1,nye_countdown
2025-12-31,14,Wednesday,0,12,0,46.4,4108,4800,0.8558333333333333,30.6,1.98,82,7.0,58,0.97,0,1,nye_countdown
2025-12-02,21,Tuesday,0,12,0,41.3,1955,4800,0.40729166666666666,26.7,10.6,92,6.0,58,0.83,0,1,christmas_festive
2025-01-20,5,Monday,0,1,0,49.4,1170,4800,0.24375,25.9,3.16,92,8.5,51,0.66,0,1,none
2025-02-04,16,Tuesday,0,2,0,43.7,1800,4800,0.375,30.3,0.0,85,10.2,55,0.67,0,1,none
2025-02-04,17,Tuesday,0,2,0,31.4,4150,4800,0.8645833333333334,29.5,0.0,87,9.7,57,0.67,0,1,none
2025-02-04,18,Tuesday,0,2,0,28.0,4550,4800,0.9479166666666666,29.0,0.0,88,9.2,59,0.67,0,1,none
2025-02-04,19,Tuesday,0,2,0,31.2,3950,4800,0.8229166666666666,28.5,0.0,89,8.7,60,0.67,0,1,none
2025-02-08,0,Saturday,1,2,0,47.5,2640,4800,0.55,24.8,0.0,93,8.2,58,0.93,0,0,none
2025-02-08,1,Saturday,1,2,0,48.5,2517,4800,0.524375,24.6,0.0,94,7.7,59,0.93,0,0,none
2025-02-08,3,Saturday,1,2,0,50.5,2648,4800,0.5516666666666666,24.4,0.0,94,7.7,58,0.93,0,0,none
2025-02-08,4,Saturday,1,2,0,51.5,2710,4800,0.5645833333333333,24.3,0.0,94,8.2,56,0.93,0,0,none
2025-02-08,5,Saturday,1,2,0,52.5,2589,4800,0.539375,24.5,0.0,93,8.7,55,0.93,0,0,none
2025-02-08,6,Saturday,1,2,0,53.5,2620,4800,0.5458333333333333,25.3,0.0,92,9.2,53,0.93,0,0,none
2025-02-08,8,Saturday,1,2,0,55.5,2734,4800,0.5695833333333333,27.3,0.0,88,10.2,50,0.93,0,0,none
2025-02-08,9,Saturday,1,2,0,56.5,2501,4800,0.5210416666666666,28.3,0.0,86,10.7,49,0.93,0,0,none
2025-02-08,10,Saturday,1,2,0,57.5,2790,4800,0.58125,29.3,0.0,84,11.2,48,0.93,0,0,none
2025-02-08,11,Saturday,1,2,0,58.5,3666,4800,0.76375,30.3,0.0,82,11.7,47,0.93,0,0,none
2025-02-08,12,Saturday,1,2,0,59.5,4197,4800,0.874375,31.3,0.0,81,12.2,46,0.93,0,0,none
2025-02-08,13,Saturday,1,2,0,60.0,3528,4800,0.735,31.3,0.0,81,12.0,47,0.93,0,0,none
2025-02-08,14,Saturday,1,2,0,60.5,4028,4800,0.8391666666666666,31.1,0.0,82,11.5,49,0.93,0,0,none
2025-02-08,15,Saturday,1,2,0,61.0,2590,4800,0.5395833333333333,30.6,0.0,84,11.0,51,0.93,0,0,none
2025-02-08,19,Saturday,1,2,0,32.0,3877,4800,0.8077083333333334,28.3,0.0,90,9.0,58,0.93,0,0,none
2025-02-08,21,Saturday,1,2,0,42.0,3772,4800,0.7858333333333334,27.3,0.0,92,8.0,60,0.93,0,0,none
2025-02-08,22,Saturday,1,2,0,46.0,3561,4800,0.741875,26.8,0.0,93,7.5,61,0.93,0,0,none
2025-02-08,23,Saturday,1,2,0,50.0,2547,4800,0.530625,26.3,0.0,93,7.0,62,0.93,0,0,none
2025-02-09,0,Sunday,1,2,0,56.0,800,4800,0.16666666666666666,24.8,0.0,93,7.8,59,0.7,0,0,none
2025-01-02,0,Thursday,0,1,0,41.2,1400,4800,0.2916666666666667,26.1,0.0,91,7.5,53,0.63,0,1,none
2025-07-13,19,Sunday,1,7,0,71.5,2054,4800,0.42791666666666667,29.2,0.0,89,9.2,58,0.86,0,0,world_aquatics
2025-09-02,20,Tuesday,0,9,0,39.9,2200,4800,0.4583333333333333,28.2,0.27,91,8.7,58,0.71,0,1,none
2025-12-22,0,Monday,0,12,0,44.6,2012,4800,0.4191666666666667,26.1,0.0,92,9.0,58,0.9,0,1,christmas_week
2025-01-02,1,Thursday,0,1,0,42.4,1350,4800,0.28125,25.9,0.0,92,7.0,54,0.63,0,1,none
2025-01-02,18,Thursday,0,1,0,26.3,4550,4800,0.9479166666666666,28.2,0.0,88,8.5,60,0.63,0,1,none
2025-01-02,19,Thursday,0,1,0,29.5,3950,4800,0.8229166666666666,27.8,0.0,89,8.1,59,0.63,0,1,none
2025-01-02,20,Thursday,0,1,0,37.8,2200,4800,0.4583333333333333,27.5,0.0,90,7.8,57,0.63,0,1,none
2025-01-02,23,Thursday,0,1,0,41.9,1550,4800,0.3229166666666667,26.3,0.0,92,6.7,52,0.63,0,1,none
2025-01-03,0,Friday,0,1,0,42.0,1400,4800,0.2916666666666667,26.2,0.0,91,7.6,53,0.63,0,1,none
2025-01-03,1,Friday,0,1,0,43.2,1350,4800,0.28125,26.0,0.0,92,7.1,54,0.63,0,1,none
2025-01-03,3,Friday,0,1,0,45.6,1250,4800,0.2604166666666667,25.7,0.0,93,7.2,53,0.63,0,1,none
2025-01-03,4,Friday,0,1,0,46.8,1200,4800,0.25,25.6,0.0,93,7.7,51,0.63,0,1,none
